feature_set,model,f1_mean,f1_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,auc_mean,auc_std,mcc_mean,mcc_std
full_all_features,xgboost,0.5131184647496383,0.053184730382369684,0.5389657284799939,0.09317452660712952,0.510203252672392,0.03997187045850655,0.5224578770750158,0.09697279672077123,0.5194323782473597,0.1116923780081169,0.06635192261005504,0.1867836244623949
sentiment_only_finbert,logistic_regression,0.5099576602152597,0.05038582317745004,0.49101763978882607,0.028899515773805135,0.46800249447027636,0.08666962252847707,0.5720007986023928,0.029975826063681002,0.5080888290997951,0.032262593657272354,-0.003111364945264001,0.04083122469648221
technical_plus_textblob,xgboost,0.5055519427897313,0.05323166142320108,0.5318328788151179,0.0800630339819736,0.501744267887188,0.042813444561241386,0.518813103764551,0.10699773020861783,0.5149383090099515,0.11214825049932879,0.05423257060301222,0.16717762890450658
technical_plus_vader_textblob,xgboost,0.5052683654462722,0.040379374364027214,0.5314779461089041,0.07724486934025598,0.5010411805684748,0.02909260896310814,0.5163694599677763,0.08646151169571681,0.5111990155346332,0.10604833187837584,0.05108776946163719,0.15508238564893095
technical_only,xgboost,0.5041819839142001,0.052579145383881774,0.5288862371292847,0.08479964958295894,0.500339227416134,0.04306717280688236,0.5189422210610697,0.10881877709492441,0.5158073442869062,0.11520718701164406,0.04900508899269316,0.17669779101601057
technical_only,logistic_regression,0.5038924766366766,0.0328261968972555,0.4819970826768711,0.032812459783155966,0.4663005520351251,0.0832034431386337,0.5712021502251377,0.07443064607680859,0.48410782271101593,0.02727965782065046,-0.007825930696842474,0.028589146187656386
technical_plus_finbert,xgboost,0.4991861177608964,0.04645037016789574,0.5231239731648859,0.08771930928033991,0.4937896208602668,0.04613610549406061,0.5118689004581539,0.08954553462694952,0.509168063204375,0.11173850337428702,0.03614216010879847,0.1790258971135292
technical_plus_finbert,logistic_regression,0.4970653907643613,0.0427394739628101,0.4792320296775083,0.03786567404472733,0.4632478954305711,0.09117629261295762,0.5570151754688004,0.057554513246048426,0.4841559687414595,0.04129561147515668,-0.01757614632384063,0.044149764505183924
technical_plus_vader_textblob,logistic_regression,0.49704041267189913,0.04896981726934894,0.4874507574920557,0.04193074254606113,0.4691959762404318,0.09169749947435314,0.5487878181497211,0.06628079944588215,0.48782946018678697,0.03734699564159062,-0.003197193737846231,0.05664957399259779
technical_only,svc_rbf,0.49651632791553524,0.021598717392395238,0.49738973497915007,0.02064529027355554,0.4763616447615468,0.06859915749234127,0.5432342395545892,0.10843202487856113,0.507707613801752,0.04293465965027804,0.021124058593776075,0.056508205639117216
technical_plus_vader,xgboost,0.49600364231384386,0.05616004317287342,0.5255902857697385,0.08777192588459531,0.49588229075761514,0.03804844402233466,0.505573227900074,0.10912556060167158,0.5090776135040291,0.10970028716702415,0.04034886556810163,0.1784675974631163
technical_plus_vader,logistic_regression,0.4950084093149698,0.05103319223213052,0.4866420535545405,0.04264643788460435,0.4679178678223595,0.09392823217996546,0.5441628405656074,0.05800570031685086,0.48977936614275314,0.03509204182104891,-0.006071893924676988,0.06079680469633306
full_all_features,logistic_regression,0.4928167361122141,0.05597304240900521,0.48571523001173933,0.048631538131700895,0.4676179416750423,0.09900319228897558,0.5398319113588834,0.05823920576258235,0.48638965669535966,0.04066821337182475,-0.0083941768083346,0.07581816868128043
technical_plus_textblob,logistic_regression,0.4926152625038694,0.0356681212021608,0.47919809134398095,0.03507253784963544,0.4629712762261432,0.08360606711248607,0.5496028945437456,0.07800275733047377,0.4904762872490197,0.027679124597966096,-0.015922428111909737,0.04458159410326234
sentiment_only_finbert,random_forest,0.48967469625110993,0.06692287263529775,0.4866952059460953,0.026810446484973986,0.4563023341644595,0.08715105192552576,0.5323622374540974,0.04403396746542291,0.4947288069762149,0.03843353065884451,-0.02806938479870717,0.04697378614616944
sentiment_only_finbert,xgboost,0.48889048288853865,0.06525924583062785,0.49250833533221955,0.03777537920492117,0.46058501853015754,0.0837520546414745,0.5247195560325897,0.052010467039508464,0.5003904402029764,0.04011304934057871,-0.01987032407825563,0.06525338385322085
sentiment_only_finbert,svc_rbf,0.4888626847901777,0.056682300158951475,0.4876865769721073,0.021263405632683707,0.46182815797806864,0.07913982951979293,0.5356669059726459,0.09843108924331552,0.49346227776852825,0.021642930937061825,-0.02054451732984148,0.03772725982929648
technical_plus_textblob,svc_rbf,0.4870618588899969,0.02113298598586467,0.5001342195842282,0.016260092093087618,0.4792699004774247,0.07408552601987048,0.5209431639642326,0.10795794243478579,0.5127045691155677,0.03633516732382876,0.024720983820835703,0.04574508758196053
sentiment_only_vader_textblob,svc_rbf,0.48632654475960446,0.05259589244531139,0.5172009065895148,0.023157846373340982,0.4838563641013406,0.06821350571860528,0.4978242138620862,0.07773005132727007,0.5161891131786105,0.016597319534035117,0.02874232608855911,0.023468149293987293
technical_plus_finbert,svc_rbf,0.47736283692990644,0.023395608926179645,0.4784063776769966,0.024863440003490694,0.4594930568824469,0.07419610159600104,0.521631475643364,0.10450264764682328,0.4963163089152897,0.03715490678193306,-0.016610838208375785,0.05334503167449382
sentiment_only_vader_textblob,xgboost,0.47163921831545,0.07140371797077928,0.501357716952596,0.022970590891600518,0.46812227351443036,0.08310228169129705,0.48660369266820763,0.09386366770871812,0.5105270412965865,0.033168246779455283,0.001559456636709236,0.05003145371215074
sentiment_only_vader_textblob,random_forest,0.4715422656819442,0.061544750221261,0.5159929676389086,0.025670527603517776,0.48210513533179433,0.07003492750026147,0.4730215644482076,0.09337651351234487,0.5211646976431814,0.028621025877602686,0.023641194214616763,0.02488800298898207
sentiment_only_vader_textblob,logistic_regression,0.4710852860739635,0.03738626161967398,0.47763055924481834,0.02063706999055621,0.45123577825924616,0.060897711936322096,0.5065325969706997,0.07243277570690267,0.4884387545380594,0.03388386454861745,-0.03489540331783518,0.04330379604415563
technical_plus_vader,svc_rbf,0.469471954891144,0.04475672165292633,0.48323886813588784,0.03145261256443387,0.4631701774843622,0.08259054906073376,0.502328438809306,0.10683413349840354,0.5071333526450157,0.036075853929920895,-0.009284226403190573,0.05382031367629427
technical_plus_vader_textblob,svc_rbf,0.46666912312291525,0.026851667894112537,0.4870730649595408,0.023355137596108477,0.46600509467779505,0.08032434537307875,0.49096652972231114,0.09086818550533839,0.5080864192392418,0.03756797447771359,-0.005283229245767829,0.04473882189499236
full_all_features,svc_rbf,0.46468561873563896,0.03023241394787869,0.4853668718010559,0.030752543372304455,0.46610868423776725,0.09052203343610479,0.4875613030907286,0.08823413800386606,0.49843023183191415,0.034781634288772637,-0.0074102534434699885,0.05477855513756312
technical_plus_vader_textblob,random_forest,0.46335570496332423,0.04206508864227377,0.509749283393259,0.028929125355355346,0.48586772345329843,0.05626205077113615,0.4716417921610729,0.13894217782945367,0.5099763900476202,0.06690835215058386,0.03643422270802292,0.07171765677032473
technical_plus_textblob,random_forest,0.4626105124313403,0.06068511096353683,0.5159917970727198,0.03831996390153625,0.489231535995046,0.045016208883562905,0.4670913662810552,0.15084706463593506,0.5128544181852566,0.06390061789783175,0.046137999529714466,0.08617633687865689
technical_only,random_forest,0.4533225568116258,0.0677402864109732,0.5075226211332333,0.048938759807652846,0.47778567798550287,0.04037307950849336,0.4585848399852505,0.15464552169903817,0.5107062633228476,0.06940778342567823,0.028567890634519855,0.1052640426525339
technical_plus_vader,random_forest,0.4520319969734702,0.06725364845730986,0.5068823044340375,0.04273431346528293,0.4788792524555701,0.041173422492896274,0.459135556367084,0.16396045300005158,0.5084485836972973,0.07122461822747513,0.029574744363011395,0.1003819816216639
full_all_features,random_forest,0.4506251193727193,0.05874760173741832,0.5028665332010989,0.033527172403888514,0.47406306661497766,0.04617437349685459,0.4571210989478667,0.14800729028082293,0.511383469008333,0.0664298077727024,0.019830464962703697,0.08101064011925833
technical_plus_finbert,random_forest,0.4468491122844308,0.05491515992605897,0.5024900986347587,0.02710859190355883,0.4768710971722142,0.05648549555022043,0.45063699606217905,0.1423085474951921,0.50771019893631,0.06492159146102283,0.019860242738933387,0.06520969589680287
full_all_features,naive_most_frequent,0.0,0.0,0.5312402856597387,0.07939999514333376,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
sentiment_only_finbert,naive_most_frequent,0.0,0.0,0.5312402856597387,0.07939999514333376,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
sentiment_only_vader_textblob,naive_most_frequent,0.0,0.0,0.5312402856597387,0.07939999514333376,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
technical_only,naive_most_frequent,0.0,0.0,0.5312402856597387,0.07939999514333376,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
technical_plus_finbert,naive_most_frequent,0.0,0.0,0.5312402856597387,0.07939999514333376,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
technical_plus_textblob,naive_most_frequent,0.0,0.0,0.5312402856597387,0.07939999514333376,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
technical_plus_vader,naive_most_frequent,0.0,0.0,0.5312402856597387,0.07939999514333376,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
technical_plus_vader_textblob,naive_most_frequent,0.0,0.0,0.5312402856597387,0.07939999514333376,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
